1.1415315888933508,1.1468665338413018,1.173340952657648,1.199815371473994,1.3495032348942761,1.499191098314558,1.86027370041879
10.0,100.0,300.0,1000.

8.884144453141696,35.53657781256677,0,0
8.884144453141696,31.094505585995925,0,0
8.884144453141696,29.983987529353215,0,0
8.884144453141696,35.53657781256677,0,0
9.655630409723559,98.97021169966665,106.21193450695934,0
8.756902566757228,99.24489575658207,299.1941710308709,595.4693745394883
9.356323885072165,98.24140079325767,299.38951870417634,643.4844467033413
8.0,32.0,0,0
8.0,28.0,0,0
8.0,27.0,0,0
8.0,32.0,0,0
8.0,82.0,88.0,0
6.0,68.0,205.0,408.0
6.0,63.0,200.0,432.0
3.789473684210526,11.368421052631579,0,0
2.3684210526315788,11.368421052631579,0,0
2.8421052631578947,9.947368421052632,0,0
3.31578947368421,13.26315789473684,0,0
2.8421052631578947,34.10526315789474,35.05263157894737,0
2.3684210526315788,27.47368421052631,85.73684210526315,171.0
2.3684210526315788,24.63157894736842,84.3157894736842,178.10526315789474
